1;Administrasi Terkait Penanggulangan Kebakaran dan Penyelamatan
2;Ambulans Gawat Darurat
3;Arus Lalu Lintas
4;Bahan Bakar Gas
5;Bahan Bakar Minyak
6;Banjir
7;Bantuan Pendidikan
8;Bantuan Sosial
9;Batas Wilayah
10;BPJS
11;Demam Berdarah Dengue
12;Fasilitas Kerjasama/Kolaborasi Pemda DKI
13;Fasilitas Kesehatan Milik Pusat/Swasta
14;Fasilitas Sosial/Fasilitas Umum
15;Gangguan Ketentraman dan Ketertiban
16;Gedung Sekolah
17;Hubungan Pekerja-Pengusaha
18;Imunisasi
19;Industri Kecil dan Menengah
20;Internal Dinas Pariwisata dan Kebudayaan
21;Wifi Publik
22;Jalan
23;Jaringan Air Bersih
24;Jaringan Komunikasi
25;Jaringan Listrik 1
26;Jembatan Penyebrangan Orang (JPO) dan /atau Halte
27;Kartu Keluarga
28;KDM dan Iklan Rokok
29;Kearsipan
30;Kegiatan Seni dan Budaya
31;Keluarga Berencana
32;Galian / Sisa Proyek
33;Kepemudaan
34;Komunikasi Pemerintah
35;Konflik Sosial
36;Koperasi
37;KTP Elektronik (KTP-El)
38;Kurikulum dan Kegiatan Sekolah
39;Layanan Administrasi Kependudukan Orang Asing
40;Lembaga Kemasyarakan
41;Lokasi Binaan dan Lokasi Sementara
42;Minimarket
43;Orang Hilang
44;ODGJ
45;Pajak Bumi dan Bangunan
46;Parkir Liar
47;Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan
48;Pelatihan Kerja dan Produktivitas Tenaga Kerja
49;Pelayanan Perhubungan
50;Pembebasan Lahan
51;Pemberdayaan Perempuan
52;Penanganan Kebakaran
53;Penataan Permukiman
54;Pencemaran Lingkungan
55;Pendidikan Anak Usia Dini
56;Pengelolahan Iklan
57;Penyakit Masyarakat
58;Penyandang Masalah Kesejahtaraan Sosial (PMKS)
59;Penyelamatan 
60;Perdagangan
61;Perizinan Kesehatan
62;Perizinan Ketentraman, Ketertiban, dan Perlindungan Masyarakat
63;Perizinan Koperasi, Usaha Kecil, dan Menengah
64;Perizinan Lingkungan Hidup
65;Perizinan Pekerjaan Umum dan Penataan Ruang
66;Perizinan Penanaman Modal
67;Perizinan Pendidikan
68;Perizinan Perhubungan
69;Perizinan Pertanahan
70;Perizinan Perumahan dan Kawasan Permukiman
71;Perizinan Sosial
72;Perizinan Tenaga Kerja
73;Perlengkapan Lalu Lintas
74;Perlindungan Anak
75;Permasalahan Siswa
76;Perpustakaan
77;PKL Liar
78;Pohon
79;Posyandu
80;PPDB / SPMB
81;Prasarana dan Sarana Penanggulangan Kebakaran
82;Pungutan Liar
83;Puskesmas
84;Reklame
85;RSUD
86;Ruang Publik Terpadu Ramah Anak (RPTRA)
87;Rumah Pohon Hewan
88;Rumah Susun / Hunian Vertikal
89;Rupabumi
90;Saluran Air, Kali/Sungai
91;Sampah
92;Sanitasi dan Keamanan Pangan
93;Satwa Liar
94;Sembilan Bahan Pokok
95;Sertifikasi Guru
96;Sertifikat atau Dokumen Kepemilikan
97;Sertifikat Laik Fungsi
98;Statistik Daerah
99;Sumur Resapan
100;Taman
101;Taman Pemakaman Umum
102;Tata Ruang dan Bangunan
103;Tempat Hiburan
104;Tempat Pelelangan Ikan
105;Tempat Wisata
106;Tenaga Kependidikan
107;Tindakan Asusila
108;Transmigrasi
109;Transportasi Publik
110;Trotoar
111;Tutup Saluran
112;UMKM
